Date,Total_Value,Cash_Accumulated
2015-01-02,0.0,0
2015-01-05,0.0,0
2015-01-06,0.0,0
2015-01-07,0.0,0
2015-01-08,0.0,0
2015-01-09,0.0,0
2015-01-12,0.0,0
2015-01-13,0.0,0
2015-01-14,0.0,0
2015-01-15,0.0,0
2015-01-16,0.0,0
2015-01-20,0.0,0
2015-01-21,0.0,0
2015-01-22,0.0,0
2015-01-23,0.0,0
2015-01-26,0.0,0
2015-01-27,0.0,0
2015-01-28,0.0,0
2015-01-29,0.0,0
2015-01-30,1000.0,1000
2015-02-02,1010.4999542236328,1000
2015-02-03,1023.9999389648438,1000
2015-02-04,1020.7999420166016,1000
2015-02-05,1030.2999877929688,1000
2015-02-06,1027.6499938964844,1000
2015-02-09,1023.3499908447266,1000
2015-02-10,1033.3499908447266,1000
2015-02-11,1033.9999389648438,1000
2015-02-12,1042.7999877929688,1000
2015-02-13,1046.9999694824219,1000
2015-02-17,1048.5499572753906,1000
2015-02-18,1048.75,1000
2015-02-19,1048.0999755859375,1000
2015-02-20,1053.949966430664,1000
2015-02-23,1053.699951171875,1000
2015-02-24,1056.5499877929688,1000
2015-02-25,1055.4999542236328,1000
2015-02-26,1054.3999481201172,1000
2015-02-27,2051.0499572753906,2000
2015-03-02,2063.75,2000
2015-03-03,2055.449981689453,2000
2015-03-04,2047.3500061035156,2000
2015-03-05,2049.449920654297,2000
2015-03-06,2022.1499633789062,2000
2015-03-09,2030.2499389648438,2000
2015-03-10,1998.8499450683594,2000
2015-03-11,1994.4499206542969,2000
2015-03-12,2018.6500549316406,2000
2015-03-13,2007.0500183105469,2000
2015-03-16,2032.8500366210938,2000
2015-03-17,2026.3499450683594,2000
2015-03-18,2049.0499877929688,2000
2015-03-19,2040.1499938964844,2000
2015-03-20,2057.550048828125,2000
2015-03-23,2044.2500305175781,2000
2015-03-24,2033.0499267578125,2000
2015-03-25,2005.1499938964844,2000
2015-03-26,2000.4499816894531,2000
2015-03-27,2004.3499755859375,2000
2015-03-30,2027.8500366210938,2000
2015-03-31,3011.0499572753906,3000
2015-04-01,3001.899948120117,3000
2015-04-02,3010.2999114990234,3000
2015-04-06,3030.2499389648438,3000
2015-04-07,3022.6000213623047,3000
2015-04-08,3032.9500579833984,3000
2015-04-09,3045.4000854492188,3000
2015-04-10,3061.14990234375,3000
2015-04-13,3048.0999755859375,3000
2015-04-14,3053.350067138672,3000
2015-04-15,3066.5499114990234,3000
2015-04-16,3065.500030517578,3000
2015-04-17,3031.899948120117,3000
2015-04-20,3058.000030517578,3000
2015-04-21,3055.1499938964844,3000
2015-04-22,3069.399948120117,3000
2015-04-23,3076.899948120117,3000
2015-04-24,3082.7499389648438,3000
2015-04-27,3071.2001037597656,3000
2015-04-28,3080.199966430664,3000
2015-04-29,3068.350067138672,3000
2015-04-30,4039.550094604492,4000
2015-05-01,4081.550094604492,4000
2015-05-04,4094.14990234375,4000
2015-05-05,4046.6900177001953,4000
2015-05-06,4030.5199279785156,4000
2015-05-07,4046.6900177001953,4000
2015-05-08,4099.39990234375,4000
2015-05-11,4079.8700561523438,4000
2015-05-12,4068.110107421875,4000
2015-05-13,4069.3700561523438,4000
2015-05-14,4111.579940795898,4000
2015-05-15,4115.779876708984,4000
2015-05-18,4128.3800048828125,4000
2015-05-19,4126.279876708984,4000
2015-05-20,4123.550094604492,4000
2015-05-21,4135.940017700195,4000
2015-05-22,4126.909851074219,4000
2015-05-26,4082.810043334961,4000
2015-05-27,4120.190017700195,4000
2015-05-28,4116.409851074219,4000
2015-05-29,5089.740081787109,5000
2015-06-01,5101.440002441406,5000
2015-06-02,5096.240081787109,5000
2015-06-03,5110.020050048828,5000
2015-06-04,5068.940002441406,5000
2015-06-05,5058.800018310547,5000
2015-06-08,5027.859954833984,5000
2015-06-09,5026.559875488281,5000
2015-06-10,5085.579986572266,5000
2015-06-11,5101.179748535156,5000
2015-06-12,5064.259796142578,5000
2015-06-15,5041.119812011719,5000
2015-06-16,5070.240081787109,5000
2015-06-17,5078.820129394531,5000
2015-06-18,5128.479827880859,5000
2015-06-19,5099.10009765625,5000
2015-06-22,5110.020050048828,5000
2015-06-23,5113.6600341796875,5000
2015-06-24,5077.520050048828,5000
2015-06-25,5061.919891357422,5000
2015-06-26,5061.919891357422,5000
2015-06-29,4956.10009765625,5000
2015-06-30,5968.83984375,6000
2015-07-01,6013.17008972168,6000
2015-07-02,6008.830108642578,6000
2015-07-06,5991.780014038086,6000
2015-07-07,6028.049957275391,6000
2015-07-08,5927.609786987305,6000
2015-07-09,5938.150146484375,6000
2015-07-10,6012.240127563477,6000
2015-07-13,6078.269805908203,6000
2015-07-14,6104.6199951171875,6000
2015-07-15,6102.139938354492,6000
2015-07-16,6148.019805908203,6000
2015-07-17,6155.150146484375,6000
2015-07-20,6157.940032958984,6000
2015-07-21,6134.069900512695,6000
2015-07-22,6122.289749145508,6000
2015-07-23,6087.879730224609,6000
2015-07-24,6025.569900512695,6000
2015-07-27,5992.08984375,6000
2015-07-28,6063.389938354492,6000
2015-07-29,6105.549957275391,6000
2015-07-30,6106.479919433594,6000
2015-07-31,7096.249862670898,7000
2015-08-03,7074.650192260742,7000
2015-08-04,7060.970016479492,7000
2015-08-05,7085.089950561523,7000
2015-08-06,7032.169906616211,7000
2015-08-07,7014.169906616211,7000
2015-08-10,7101.289840698242,7000
2015-08-11,7037.570236206055,7000
2015-08-12,7043.690170288086,7000
2015-08-13,7036.129928588867,7000
2015-08-14,7062.770126342773,7000
2015-08-17,7101.289840698242,7000
2015-08-18,7080.04997253418,7000
2015-08-19,7025.329818725586,7000
2015-08-20,6880.970016479492,7000
2015-08-21,6024.99525976181,7000
2015-08-24,5781.455602169037,7000
2015-08-25,5711.825582027435,7000
2015-08-26,5936.555501461029,7000
2015-08-27,6400.412097930908,7000
2015-08-28,6395.220989227295,7000
2015-08-31,7157.778622865677,8000
2015-09-01,6508.800114393234,8000
2015-09-02,6639.779865980148,8000
2015-09-03,6530.248386144638,8000
2015-09-04,6311.893979549408,8000
2015-09-08,6847.465685367584,8000
2015-09-09,6609.197315216064,8000
2015-09-10,6820.438516378403,8000
2015-09-11,6930.68180513382,8000
2015-09-14,6868.802859783173,8000
2015-09-15,7108.494847774506,8000
